Line,X,Y,Ch1,Ch2,Ch3,Ch4
Livs0125p_02,287642.17,2476405.19,-6.68,-4,-1.51,-0.79
Livs0125p_02,287642.14,2476405.27,-6.67,-3.81,-1.5,-0.71
Livs0125p_02,287642.12,2476405.36,-6.57,-3.64,-1.68,-0.7
Livs0125p_02,287642.09,2476405.45,-6.75,-3.63,-1.59,-0.8
Livs0125p_02,287642.06,2476405.53,-6.74,-3.47,-1.58,-0.72
Livs0125p_02,287642.03,2476405.62,-6.75,-3.38,-1.68,-0.54
Livs0125p_02,287642,2476405.71,-6.75,-3.39,-1.6,-0.62
Livs0125p_02,287641.96,2476405.78,-6.66,-3.48,-1.58,-0.53
Livs0125p_02,287641.91,2476405.86,-6.84,-3.72,-1.5,-0.53
Livs0125p_02,287641.87,2476405.93,-6.75,-3.92,-1.59,-0.53
Livs0125p_02,287641.83,2476406,-6.48,-3.82,-1.58,-0.53
Livs0125p_02,287641.78,2476406.08,-6.55,-3.83,-1.49,-0.54
Livs0125p_02,287641.74,2476406.15,-6.56,-3.63,-1.41,-0.8
Livs0125p_02,287641.69,2476406.22,-6.74,-3.64,-1.68,-0.71
Livs0125p_02,287641.65,2476406.3,-7.09,-3.65,-1.77,-0.71
Livs0125p_02,287641.6,2476406.37,-7.08,-3.73,-1.42,-0.54
Livs0125p_02,287641.55,2476406.44,-6.99,-3.73,-1.68,-0.63
Livs0125p_02,287641.5,2476406.5,-6.89,-3.74,-1.58,-0.71
Livs0125p_02,287641.44,2476406.56,-7.16,-3.65,-1.78,-0.79
Livs0125p_02,287641.38,2476406.63,-6.98,-3.81,-1.78,-0.79
Livs0125p_02,287641.33,2476406.69,-6.88,-3.64,-1.68,-0.88
Livs0125p_02,287641.27,2476406.75,-6.98,-3.81,-1.77,-1.15
Livs0125p_02,287641.22,2476406.82,-6.79,-3.72,-1.6,-1.05
Livs0125p_02,287641.16,2476406.88,-6.78,-3.74,-1.4,-0.88
Livs0125p_02,287641.1,2476406.94,-6.69,-3.73,-1.5,-0.7
Livs0125p_02,287641.04,2476407,-6.6,-3.48,-1.41,-0.54
Livs0125p_02,287640.98,2476407.05,-6.85,-3.63,-1.6,-0.36
Livs0125p_02,287640.92,2476407.1,-6.85,-3.64,-1.5,-0.27
Livs0125p_02,287640.85,2476407.14,-6.93,-3.82,-1.49,0
Livs0125p_02,287640.79,2476407.19,-6.84,-3.63,-1.42,0.17
Livs0125p_02,287640.73,2476407.24,-6.66,-3.56,-1.24,0.18
Livs0125p_02,287640.66,2476407.29,-6.64,-3.37,-1.41,-0.07
Livs0125p_02,287640.6,2476407.34,-7,-3.83,-1.4,-0.44
Livs0125p_02,287640.54,2476407.39,-7.18,-3.92,-1.85,-0.97
Livs0125p_02,287640.47,2476407.44,-7.08,-3.92,-2.13,-0.96
Livs0125p_02,287640.38,2476407.48,-7.43,-4.01,-2.12,-0.78
Livs0125p_02,287640.3,2476407.53,-7.69,-4.01,-1.94,-0.6
Livs0125p_02,287640.21,2476407.58,-7.43,-4.18,-2.03,-0.62
Livs0125p_02,287640.13,2476407.62,-7.34,-4.16,-2.12,-0.88
Livs0125p_02,287640.04,2476407.67,-7.16,-4.18,-2.12,-0.88
Livs0125p_02,287639.95,2476407.71,-6.97,-3.92,-2.03,-0.7
Livs0125p_02,287639.87,2476407.76,-6.89,-3.91,-1.93,-0.53
Livs0125p_02,287639.78,2476407.8,-7.05,-3.83,-1.85,-0.71
Livs0125p_02,287639.7,2476407.85,-7.14,-3.83,-2.11,-0.79
Livs0125p_02,287639.6,2476407.89,-7.15,-3.91,-1.93,-0.71
Livs0125p_02,287639.5,2476407.93,-6.71,-3.81,-2.04,-0.62
Livs0125p_02,287639.4,2476407.98,-6.52,-3.65,-1.85,-0.53
Livs0125p_02,287639.3,2476408.02,-5.9,-3.21,-1.6,-0.51
Livs0125p_02,287639.21,2476408.06,-5.9,-3.11,-1.5,-0.7
Livs0125p_02,287639.11,2476408.1,-5.91,-3.29,-1.51,-0.7
Livs0125p_02,287639.01,2476408.14,-5.81,-3.29,-1.58,-0.78
Livs0125p_02,287638.91,2476408.19,-5.99,-3.2,-1.77,-0.97
Livs0125p_02,287638.81,2476408.23,-6.17,-3.21,-1.68,-0.87
Livs0125p_02,287638.71,2476408.27,-6.25,-3.47,-1.5,-0.53
Livs0125p_02,287638.6,2476408.31,-6.27,-3.55,-1.59,-0.33
Livs0125p_02,287638.49,2476408.34,-5.99,-3.37,-1.41,-0.17
Livs0125p_02,287638.38,2476408.38,-5.99,-3.38,-1.4,-0.25
Livs0125p_02,287638.28,2476408.42,-6.25,-3.45,-1.49,-0.35
Livs0125p_02,287638.17,2476408.46,-6.17,-3.55,-1.6,-0.52
Livs0125p_02,287638.06,2476408.5,-6.18,-3.65,-1.51,-0.44
Livs0125p_02,287637.96,2476408.53,-6.27,-3.73,-1.5,-0.34
Livs0125p_02,287637.85,2476408.57,-6.09,-3.46,-1.32,-0.26
Livs0125p_02,287637.74,2476408.61,-6.26,-3.64,-1.42,-0.43
Livs0125p_02,287637.62,2476408.64,-6.64,-3.92,-1.78,-0.61
Livs0125p_02,287637.51,2476408.67,-6.63,-3.83,-1.78,-0.61
Livs0125p_02,287637.4,2476408.71,-6.46,-3.56,-1.51,-0.52
Livs0125p_02,287637.29,2476408.74,-6.37,-3.45,-1.32,-0.18
Livs0125p_02,287637.17,2476408.77,-6.73,-3.46,-1.5,-0.27
Livs0125p_02,287637.06,2476408.81,-6.92,-3.56,-1.68,-0.43
Livs0125p_02,287636.95,2476408.84,-6.91,-3.74,-1.67,-0.61
Livs0125p_02,287636.83,2476408.87,-7.17,-4.09,-1.77,-0.79
Livs0125p_02,287636.72,2476408.9,-7.18,-4.07,-1.84,-0.79
Livs0125p_02,287636.61,2476408.92,-7.07,-4.09,-1.69,-0.89
Livs0125p_02,287636.5,2476408.95,-6.73,-4,-1.85,-0.97
Livs0125p_02,287636.39,2476408.97,-6.56,-4,-1.68,-0.69
Livs0125p_02,287636.28,2476408.99,-6.18,-3.92,-1.69,-0.6
Livs0125p_02,287636.17,2476409.02,-6.45,-3.91,-1.77,-0.7
Livs0125p_02,287636.06,2476409.04,-6.63,-4.17,-1.94,-0.7
Livs0125p_02,287635.95,2476409.06,-7.16,-4.17,-1.94,-0.78
Livs0125p_02,287635.84,2476409.09,-7.15,-4,-1.84,-0.7
Livs0125p_02,287635.73,2476409.11,-6.98,-3.91,-1.76,-0.61
Livs0125p_02,287635.62,2476409.13,-6.99,-3.81,-1.49,-0.44
Livs0125p_02,287635.5,2476409.15,-6.81,-3.64,-1.5,-0.34
Livs0125p_02,287635.39,2476409.17,-7.05,-3.73,-1.67,-0.43
Livs0125p_02,287635.27,2476409.19,-6.97,-3.82,-1.59,-0.52
Livs0125p_02,287635.16,2476409.21,-7.06,-3.81,-1.49,-0.61
Livs0125p_02,287635.05,2476409.24,-7.13,-3.72,-1.42,-0.52
Livs0125p_02,287634.93,2476409.26,-6.87,-3.72,-1.59,-0.53
Livs0125p_02,287634.82,2476409.28,-6.78,-3.63,-1.58,-0.51
Livs0125p_02,287634.7,2476409.3,-6.76,-3.91,-1.6,-0.53
Livs0125p_02,287634.59,2476409.31,-6.95,-3.99,-1.85,-0.44
Livs0125p_02,287634.47,2476409.33,-6.85,-4.08,-1.68,-0.61
Livs0125p_02,287634.36,2476409.35,-6.75,-4.17,-1.85,-0.7
Livs0125p_02,287634.24,2476409.36,-6.57,-4.08,-1.68,-0.79
Livs0125p_02,287634.13,2476409.38,-6.48,-3.9,-1.49,-0.61
Livs0125p_02,287634.01,2476409.4,-6.48,-4,-1.69,-0.61
Livs0125p_02,287633.9,2476409.41,-6.72,-4.27,-1.84,-0.78
Livs0125p_02,287633.78,2476409.43,-6.74,-4.09,-1.84,-0.69
Livs0125p_02,287633.67,2476409.45,-7.07,-4.44,-1.86,-0.52
Livs0125p_02,287633.55,2476409.46,-7.33,-4.6,-2.03,-0.34
Livs0125p_02,287633.44,2476409.48,-7.41,-4.61,-1.95,-0.33
Livs0125p_02,287633.32,2476409.49,-7.52,-4.45,-1.94,-0.25
Livs0125p_02,287633.21,2476409.51,-7.77,-4.17,-1.75,-0.34
Livs0125p_02,287633.09,2476409.52,-7.59,-4.16,-1.68,-0.16
Livs0125p_02,287632.97,2476409.54,-7.5,-4.09,-1.76,-0.25
Livs0125p_02,287632.86,2476409.55,-7.33,-4.16,-1.68,-0.42
Livs0125p_02,287632.74,2476409.57,-7.06,-4.07,-1.69,-0.52
Livs0125p_02,287632.63,2476409.58,-6.97,-4.17,-1.76,-0.53
Livs0125p_02,287632.51,2476409.6,-7.13,-4.35,-1.86,-0.69
Livs0125p_02,287632.39,2476409.61,-7.42,-4.52,-2.03,-0.6
Livs0125p_02,287632.27,2476409.62,-7.41,-4.61,-2.13,-0.68
Livs0125p_02,287632.14,2476409.64,-7.32,-4.53,-2.04,-0.79
Livs0125p_02,287632.02,2476409.65,-7.16,-4.35,-2.11,-0.77
Livs0125p_02,287631.9,2476409.66,-7.24,-4.44,-2.21,-1.06
Livs0125p_02,287631.78,2476409.68,-7.33,-4.53,-2.02,-1.04
Livs0125p_02,287631.66,2476409.69,-7.33,-4.44,-2.2,-0.96
Livs0125p_02,287631.54,2476409.7,-7.07,-4.26,-2.03,-0.69
Livs0125p_02,287631.43,2476409.71,-7.08,-4.35,-2.02,-0.52
Livs0125p_02,287631.32,2476409.72,-6.99,-4.08,-1.93,-0.53
Livs0125p_02,287631.2,2476409.73,-6.91,-3.91,-1.85,-0.7
Livs0125p_02,287631.09,2476409.74,-6.82,-3.82,-1.78,-0.78
Livs0125p_02,287630.98,2476409.76,-6.73,-3.73,-1.69,-0.87
Livs0125p_02,287630.87,2476409.77,-6.72,-3.65,-1.5,-0.78
Livs0125p_02,287630.76,2476409.78,-6.64,-3.46,-1.5,-0.78
Livs0125p_02,287630.65,2476409.79,-6.56,-3.56,-1.76,-0.7
Livs0125p_02,287630.54,2476409.8,-6.56,-3.73,-1.76,-0.61
Livs0125p_02,287630.42,2476409.81,-6.21,-3.55,-1.41,-0.25
Livs0125p_02,287630.3,2476409.82,-6.05,-3.28,-1.32,-0.34
Livs0125p_02,287630.19,2476409.82,-6.13,-3.21,-1.5,-0.62
Livs0125p_02,287630.07,2476409.83,-6.33,-3.46,-1.86,-1.04
Livs0125p_02,287629.95,2476409.84,-6.32,-3.55,-1.85,-0.96
Livs0125p_02,287629.83,2476409.85,-6.41,-3.56,-1.78,-0.79
Livs0125p_02,287629.71,2476409.86,-6.33,-3.46,-1.69,-0.79
Livs0125p_02,287629.59,2476409.87,-5.9,-3.29,-1.51,-0.61
Livs0125p_02,287629.48,2476409.87,-5.98,-3.21,-1.4,-0.61
